,color,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,budget,title_year,actor_2_facebook_likes,imdb_score,aspect_ratio,movie_facebook_likes
168,Color,Jon M. Chu,351.0,122.0,209.0,934.0,Dwayne Johnson,17000.0,122512052.0,Action|Adventure|Sci-Fi|Thriller,Channing Tatum,G.I. Joe: Retaliationξ,146352.0,31958.0,Elodie Yung,6.0,general|gi joe|martial arts|ninja|president,288.0,English,USA,PG-13,130000000.0,2013.0,12000.0,5.8,2.35,42000.0
169,Color,Breck Eisner,163.0,124.0,42.0,848.0,Rainn Wilson,11000.0,68642452.0,Action|Adventure|Comedy|Thriller,Matthew McConaughey,Saharaξ,77673.0,13073.0,Delroy Lindo,3.0,beach|civil war|desert|dictator|ship,463.0,English,UK,PG-13,130000000.0,2005.0,973.0,6.0,2.35,0.0
170,Color,Hironobu Sakaguchi,166.0,106.0,6.0,422.0,Ming-Na Wen,12000.0,32131830.0,Action|Adventure|Animation|Fantasy|Romance|Sci-Fi,Steve Buscemi,Final Fantasy: The Spirits Withinξ,72259.0,15015.0,Jean Simmons,1.0,general|military|scientist|soldier|year 2065,788.0,English,USA,PG-13,137000000.0,2001.0,2000.0,6.4,1.85,0.0
171,Color,Joe Johnston,510.0,124.0,394.0,2000.0,Dominic Cooper,11000.0,176636816.0,Action|Adventure|Sci-Fi,Chris Evans,Captain America: The First Avengerξ,508818.0,19761.0,Hayley Atwell,0.0,arctic|captain america|scientist|tesseract|war bond,679.0,English,USA,PG-13,140000000.0,2011.0,3000.0,6.9,2.35,46000.0
172,Color,Michael Apted,197.0,128.0,150.0,244.0,Maria Grazia Cucinotta,766.0,126930660.0,Action|Adventure|Thriller,Colin Salmon,The World Is Not Enoughξ,157519.0,2037.0,Desmond Llewelyn,2.0,british|oil|scientist|terrorist|tycoon,683.0,English,UK,PG-13,135000000.0,1999.0,536.0,6.4,2.35,2000.0
175,Color,George Miller,156.0,100.0,750.0,988.0,Brad Pitt,49000.0,63992328.0,Animation|Comedy|Family|Musical,Robin Williams,Happy Feet 2ξ,32399.0,62644.0,Common,0.0,3d|antarctica|krill|penguin|sequel,79.0,English,Australia,PG,135000000.0,2011.0,11000.0,5.9,2.35,0.0
177,Color,Steven Spielberg,252.0,117.0,14000.0,358.0,Penelope Wilton,535.0,52792307.0,Adventure|Family|Fantasy,Mark Rylance,The BFGξ,12572.0,1950.0,Rafe Spall,0.0,cannibal|evil brother|giant|london england|queen,106.0,English,UK,PG,140000000.0,2016.0,400.0,6.8,2.35,27000.0
179,Color,David Soren,166.0,96.0,13.0,463.0,Snoop Dogg,16000.0,83024900.0,Adventure|Animation|Comedy|Family|Sport,Ryan Reynolds,Turboξ,62424.0,17416.0,Ben Schwartz,0.0,accident|freak accident|race|snail|underdog,90.0,English,USA,PG,135000000.0,2013.0,881.0,6.5,2.35,13000.0
180,Color,Gore Verbinski,362.0,107.0,563.0,939.0,Ray Winstone,40000.0,123207194.0,Adventure|Animation|Comedy|Family|Western,Johnny Depp,Rangoξ,183208.0,43291.0,Stephen Root,0.0,chameleon|lizard|sheriff|water|western town,337.0,English,USA,PG,135000000.0,2011.0,1000.0,7.2,2.35,26000.0
181,Color,Eric Darnell,153.0,92.0,35.0,179.0,Annet Mahendru,19000.0,83348920.0,Adventure|Animation|Comedy|Family,Benedict Cumberbatch,Penguins of Madagascarξ,60230.0,19963.0,Andy Richter,0.0,little girl|park|spy|statue of liberty|television van,118.0,English,USA,PG,132000000.0,2014.0,411.0,6.7,1.85,11000.0
183,Color,Mark Osborne,266.0,92.0,54.0,562.0,Wayne Knight,11000.0,215395021.0,Action|Adventure|Animation|Comedy|Family,Angelina Jolie Pitt,Kung Fu Pandaξ,307029.0,12754.0,Dan Fogler,0.0,kung fu|kung fu master|master|panda|snow leopard,360.0,English,USA,PG,130000000.0,2008.0,967.0,7.6,2.35,6000.0
187,Color,Tim Johnson,165.0,94.0,12.0,183.0,Matt Jones,17000.0,177343675.0,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi,Jim Parsons,Homeξ,70121.0,17883.0,April Winchell,0.0,alien friendship|alien invasion|australia|flying car|mother daughter relationship,214.0,English,USA,PG,135000000.0,2015.0,523.0,6.7,1.85,26000.0
188,Color,Steven Spielberg,401.0,116.0,14000.0,807.0,Lisa Ann Walter,10000.0,234277056.0,Adventure|Sci-Fi|Thriller,Tom Cruise,War of the Worldsξ,334345.0,12758.0,Rick Gonzalez,0.0,alien|fight|storm|survival|tripod,2741.0,English,USA,PG-13,132000000.0,2005.0,1000.0,6.5,1.85,0.0
189,Color,Michael Bay,94.0,147.0,0.0,877.0,Henry Rollins,10000.0,138396624.0,Action|Comedy|Crime|Thriller,Will Smith,Bad Boys IIξ,178126.0,12954.0,Jordi Moll��,1.0,cuba|dea|drugs|money|undercover,511.0,English,USA,r,130000000.0,2003.0,898.0,6.6,2.35,0.0
190,Color,Chris Miller,246.0,90.0,50.0,397.0,Constance Marie,4000.0,149234747.0,Action|Adventure|Animation|Comedy|Family|Fantasy,Salma Hayek,Puss in Bootsξ,114287.0,5046.0,Amy Sedaris,0.0,betrayal|egg|friend|goose|hero,137.0,English,USA,PG,130000000.0,2011.0,442.0,6.7,2.35,16000.0
191,Color,Phillip Noyce,330.0,101.0,176.0,282.0,Andre Braugher,11000.0,118311368.0,Action|Crime|Mystery|Thriller,Angelina Jolie Pitt,Saltξ,245621.0,12406.0,August Diehl,1.0,cia|on the run|russian|russian spy|strong female lead,514.0,English,USA,PG-13,110000000.0,2010.0,702.0,6.4,2.35,23000.0
193,Color,Steven Spielberg,440.0,107.0,14000.0,845.0,Mackenzie Crook,2000.0,77564037.0,Action|Adventure|Family|Mystery,Toby Jones,The Adventures of Tintinξ,177383.0,4631.0,Tony Curran,1.0,captain|morocco|ship|tintin|treasure,447.0,English,USA,PG,135000000.0,2011.0,871.0,7.4,2.35,44000.0
194,Color,Alfonso Cuar�_n,274.0,142.0,0.0,10000.0,Gary Oldman,11000.0,249358727.0,Adventure|Family|Fantasy|Mystery,Daniel Radcliffe,Harry Potter and the Prisoner of Azkabanξ,382255.0,33284.0,Rupert Grint,3.0,magic|muggle|serial killer|traitor|wizard,1504.0,English,UK,PG,130000000.0,2004.0,10000.0,7.8,2.35,11000.0
195,Color,Baz Luhrmann,245.0,165.0,1000.0,165.0,Bryan Brown,309.0,49551662.0,Adventure|Drama|Romance|War,Essie Davis,Australiaξ,102338.0,921.0,Eddie Baroo,0.0,australia|cattle|darwin|drover|japanese,450.0,English,Australia,PG-13,130000000.0,2008.0,284.0,6.6,2.35,0.0
196,Color,M. Night Shyamalan,349.0,100.0,0.0,894.0,Zo�� Kravitz,10000.0,60522097.0,Action|Adventure|Sci-Fi,Will Smith,After Earthξ,158720.0,14168.0,Glenn Morshower,0.0,box office flop|father son team|fear|race against time|real life father and son playing father and son,744.0,English,USA,PG-13,130000000.0,2013.0,943.0,4.9,2.35,37000.0
197,Color,Eric Leighton,145.0,82.0,0.0,388.0,D.B. Sweeney,1000.0,137748063.0,Adventure|Animation|Family|Thriller,Alfre Woodard,Dinosaurξ,38438.0,2945.0,Della Reese,1.0,egg|iguanodon|lemur|meteor|nesting grounds,241.0,English,USA,PG,127500000.0,2000.0,558.0,6.5,1.85,0.0
199,Color,Shawn Levy,154.0,98.0,189.0,1000.0,Rami Malek,49000.0,113733726.0,Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museum: Secret of the Tombξ,67223.0,53587.0,Steve Coogan,7.0,museum|museum of natural history manhattan new york city|night watchman|star died before release|tablet,126.0,English,USA,PG,127000000.0,2014.0,3000.0,6.2,1.85,11000.0
200,Color,Tom McGrath,233.0,95.0,96.0,8000.0,Brad Pitt,24000.0,148337537.0,Action|Animation|Comedy|Family|Sci-Fi,J.K. Simmons,Megamindξ,172754.0,46120.0,Will Ferrell,3.0,battle|city|planet|prison|superhero,187.0,English,USA,PG,130000000.0,2010.0,11000.0,7.3,2.35,13000.0
201,Color,Chris Columbus,258.0,159.0,0.0,645.0,Fiona Shaw,11000.0,317557891.0,Adventure|Family|Fantasy,Daniel Radcliffe,Harry Potter and the Sorcerers Stoneξ,444683.0,13191.0,Verne Troyer,4.0,based on novel|birthday|evil wizard|quidditch|wizard,1571.0,English,UK,pg,125000000.0,2001.0,687.0,7.5,2.35,16000.0
202,Color,Robert Schwentke,208.0,96.0,124.0,1000.0,Jeff Bridges,16000.0,33592415.0,Action|Comedy|Fantasy,Ryan Reynolds,R.I.P.D.ξ,91640.0,31549.0,Stephanie Szostak,2.0,drug dealer|gold|partner|police|undead,210.0,English,USA,PG-13,130000000.0,2013.0,12000.0,5.6,2.35,20000.0
207,Color,Ron Howard,294.0,174.0,2000.0,362.0,Seth Gabel,15000.0,217536138.0,Mystery|Thriller,Tom Hanks,The Da Vinci Codeξ,314253.0,16008.0,J�_rgen Prochnow,2.0,based on supposedly true story|holy grail|mary magdalene|opus dei|secret,1966.0,English,USA,PG-13,125000000.0,2006.0,574.0,6.6,2.35,0.0
208,Color,Carlos Saldanha,159.0,101.0,107.0,56.0,Rachel Crow,688.0,131536019.0,Adventure|Animation|Comedy|Family|Musical,Miguel Ferrer,Rio 2ξ,58498.0,1031.0,Jeffrey Garcia,0.0,amazon|bird|father in law|jungle|no opening credits,99.0,English,USA,G,103000000.0,2014.0,237.0,6.4,2.35,0.0
209,Color,Bryan Singer,289.0,134.0,0.0,346.0,Bruce Davison,20000.0,214948780.0,Action|Adventure|Fantasy|Sci-Fi|Thriller,Hugh Jackman,X-Men 2ξ,405973.0,20952.0,Aaron Stanford,4.0,mutant|prison|professor|school|x men,1055.0,English,Canada,PG-13,110000000.0,2003.0,505.0,7.5,2.35,0.0
211,Color,Guy Ritchie,382.0,129.0,0.0,154.0,Eddie Marsan,21000.0,186830669.0,Action|Adventure|Crime|Mystery|Thriller,Robert Downey Jr.,Sherlock Holmes: A Game of Shadowsξ,338635.0,22403.0,Paul Anderson,2.0,factory|gypsy|investigation|sherlock holmes|train,412.0,English,USA,PG-13,125000000.0,2011.0,979.0,7.5,2.35,39000.0
212,Color,Louis Leterrier,344.0,106.0,255.0,850.0,Jason Flemyng,14000.0,163192114.0,Action|Adventure|Fantasy,Liam Neeson,Clash of the Titansξ,229679.0,18003.0,Alexa Davalos,0.0,famous line|hand to hand combat|kraken|rape|zeus,637.0,English,USA,PG-13,125000000.0,2010.0,1000.0,5.8,2.35,15000.0
213,Color,Paul Verhoeven,196.0,113.0,719.0,217.0,Rachel Ticotin,605.0,119412921.0,Action|Sci-Fi,Ronny Cox,Total Recallξ,240241.0,1441.0,Marshall Bell,0.0,ambiguous ending|false memory|implanted memory|memory|space colony,391.0,English,USA,R,65000000.0,1990.0,308.0,7.5,1.85,0.0
214,Color,John McTiernan,85.0,102.0,323.0,241.0,Vladimir Kulich,845.0,32694788.0,Action|Adventure|History,Tony Curran,The 13th Warriorξ,101411.0,1815.0,Clive Russell,1.0,arab|battle|combat|viking|warrior,546.0,English,USA,R,85000000.0,1999.0,372.0,6.6,2.35,0.0
215,Color,Tony Gilroy,436.0,135.0,209.0,602.0,Scott Glenn,10000.0,113165635.0,Action|Adventure|Thriller,Jeremy Renner,The Bourne Legacyξ,229823.0,12175.0,Stacy Keach,0.0,assassin|cia|drone|pill|wolf,504.0,English,USA,PG-13,125000000.0,2012.0,826.0,6.7,2.35,31000.0
217,Color,Ron Howard,175.0,110.0,2000.0,636.0,T.J. Thyne,1000.0,260031035.0,Comedy|Family|Fantasy,Clint Howard,How the Grinch Stole Christmasξ,141414.0,4146.0,Molly Shannon,0.0,box office hit|christmas|materialism|public humiliation|snowflake,482.0,English,USA,PG,123000000.0,2000.0,722.0,6.0,1.85,0.0
218,Color,Roland Emmerich,239.0,124.0,776.0,812.0,Dennis Quaid,15000.0,186739919.0,Action|Adventure|Sci-Fi|Thriller,Jake Gyllenhaal,The Day After Tomorrowξ,333248.0,20553.0,Sela Ward,0.0,climate|end of the world|global warming|natural disaster|weather,1159.0,English,USA,PG-13,125000000.0,2004.0,2000.0,6.4,2.35,19000.0
219,Color,John Woo,237.0,123.0,610.0,653.0,Dougray Scott,10000.0,215397307.0,Action|Adventure|Thriller,Tom Cruise,Mission: Impossible IIξ,242188.0,11930.0,Richard Roxburgh,0.0,cure|mission|terrorist|thief|virus,1426.0,English,USA,PG-13,125000000.0,2000.0,794.0,6.1,2.35,0.0
220,Color,Wolfgang Petersen,231.0,130.0,249.0,461.0,Mary Elizabeth Mastrantonio,784.0,182618434.0,Action|Adventure|Drama|Thriller,Karen Allen,The Perfect Stormξ,133076.0,2684.0,Bob Gunton,0.0,death|fish|fishing|sea|storm,779.0,English,USA,PG-13,140000000.0,2000.0,638.0,6.4,2.35,0.0
221,Color,Tim Story,262.0,92.0,167.0,702.0,Ioan Gruffudd,11000.0,131920333.0,Action|Adventure|Sci-Fi|Thriller,Chris Evans,Fantastic 4: Rise of the Silver Surferξ,213275.0,15302.0,Andre Braugher,3.0,fantastic four|space|strong female character|strong female lead|superheroine,436.0,English,USA,PG,130000000.0,2007.0,2000.0,5.6,2.35,0.0
223,Color,Mark Steven Johnson,276.0,123.0,160.0,402.0,Matt Long,12000.0,115802596.0,Action|Fantasy|Thriller,Nicolas Cage,Ghost Riderξ,182661.0,14017.0,Peter Fonda,1.0,blackheart|devil|father|ghost|mephistopheles,681.0,English,USA,PG-13,110000000.0,2007.0,701.0,5.2,2.35,0.0
224,Color,Paul Greengrass,267.0,123.0,521.0,265.0,Riz Ahmed,13000.0,108521835.0,Action|Thriller,Matt Damon,Jason Bourneξ,40123.0,13752.0,Ato Essandoh,0.0,black ops|chase|cia|cia agent|repeated scene,297.0,English,UK,PG-13,120000000.0,2016.0,365.0,7.1,2.35,31000.0
225,Color,McG,102.0,107.0,368.0,1000.0,Bernie Mac,2000.0,100685880.0,Action|Adventure|Comedy|Crime,Demi Moore,Charlies Angels: Full Throttleξ,100821.0,4046.0,Justin Theroux,0.0,fbi|murder|ring|witness protection|witness protection program,554.0,English,USA,PG-13,120000000.0,2003.0,1000.0,4.8,2.35,0.0
227,Color,Rob Minkoff,71.0,77.0,50.0,537.0,Brad Garrett,886.0,64736114.0,Adventure|Animation|Comedy|Family|Fantasy,Nathan Lane,Stuart Little 2ξ,36471.0,2682.0,Melanie Griffith,0.0,anthropomorphic mouse|falcon|marshmallow|second part|soccer,69.0,English,USA,PG,120000000.0,2002.0,799.0,5.4,1.85,459.0
231,Color,Lana Wachowski,284.0,135.0,0.0,87.0,Kick Gurry,690.0,43929341.0,Action|Family|Sport,Scott Porter,Speed Racerξ,57873.0,902.0,Nicholas Elia,0.0,based on anime|based on cartoon|gadget car|racer|speed,414.0,English,USA,PG,120000000.0,2008.0,107.0,6.1,2.35,0.0
232,Color,James L. Brooks,168.0,121.0,274.0,157.0,Domenick Lombardozzi,273.0,30212620.0,Comedy|Drama|Romance,Shelley Conn,How Do You Knowξ,35066.0,993.0,Teyonah Parris,4.0,embarrassment|falling in love|love|love triangle|revelation,196.0,English,USA,PG-13,120000000.0,2010.0,216.0,5.3,1.85,0.0
233,Color,James Mangold,283.0,117.0,446.0,877.0,Marc Blucas,10000.0,76418654.0,Action|Comedy|Romance,Tom Cruise,Knight and Dayξ,148280.0,12731.0,Jordi Moll��,0.0,chase|fbi|garage|spy|surveillance,348.0,English,USA,PG-13,117000000.0,2010.0,973.0,6.3,2.35,11000.0
235,Color,George Lucas,359.0,140.0,0.0,4000.0,Christopher Lee,20000.0,380262555.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode III - Revenge of the Sithξ,520104.0,44042.0,Hayden Christensen,4.0,elongated cry of no|friends become enemies|kicked in the butt|robotic midwife|vision,3286.0,English,USA,PG-13,113000000.0,2005.0,16000.0,7.6,2.35,10000.0
236,Color,George Lucas,284.0,142.0,0.0,4000.0,Christopher Lee,20000.0,310675583.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode II - Attack of the Clonesξ,464310.0,42990.0,Hayden Christensen,3.0,martial arts|murdered before giving protagonist information|part computer animation|prequel|prequel to cult film,3516.0,English,USA,PG,115000000.0,2002.0,16000.0,6.7,1.78,0.0
239,Color,George Lucas,320.0,136.0,0.0,1000.0,Liam Neeson,20000.0,474544677.0,Action|Adventure|Fantasy|Sci-Fi,Natalie Portman,Star Wars: Episode I - The Phantom Menaceξ,534658.0,37723.0,Ian McDiarmid,1.0,alien|character says i have a bad feeling about this|hand to hand combat|seven word title|wilhelm scream,3597.0,English,USA,PG,115000000.0,1999.0,14000.0,6.5,2.35,13000.0
240,Color,Kirk De Micco,257.0,98.0,16.0,12000.0,Emma Stone,16000.0,187165546.0,Adventure|Animation|Comedy|Family|Fantasy,Ryan Reynolds,The Croodsξ,150618.0,43286.0,Nicolas Cage,3.0,cave|caveman|journey|strict father|survival,195.0,English,USA,PG,135000000.0,2013.0,15000.0,7.3,2.35,28000.0
242,Color,John Woo,152.0,153.0,610.0,617.0,Roger Willie,12000.0,40911830.0,Action|Drama|War,Nicolas Cage,Windtalkersξ,55994.0,15046.0,Noah Emmerich,0.0,code|duty|steel helmet|u.s. marine|u.s. soldier,454.0,English,USA,R,115000000.0,2002.0,836.0,6.0,2.35,0.0
243,Color,Cedric Nicolas-Troyan,231.0,120.0,19.0,9000.0,Sam Claflin,26000.0,47952020.0,Action|Adventure|Drama|Fantasy,Chris Hemsworth,The Huntsman: Winters Warξ,37750.0,46719.0,Charlize Theron,2.0,based on fairy tale|dark fantasy|fairy tale|second part|sequel,134.0,English,USA,PG-13,115000000.0,2016.0,11000.0,6.1,2.35,16000.0
246,Color,Roger Donaldson,93.0,108.0,79.0,268.0,Grant Heslov,650.0,67155742.0,Action|Adventure|Thriller,Jamie Ren��e Smith,Dantes Peakξ,62271.0,1569.0,Tzi Ma,1.0,ash|escape|lava|mayor|volcano,277.0,English,USA,PG-13,116000000.0,1997.0,293.0,5.8,2.35,0.0
249,Color,Shawn Levy,179.0,108.0,189.0,1000.0,Rami Malek,49000.0,250863268.0,Action|Adventure|Comedy|Family|Fantasy,Robin Williams,Night at the Museumξ,234480.0,55486.0,Steve Coogan,2.0,chaos|museum|museum of natural history|night watchman|watchman,444.0,English,USA,PG,110000000.0,2006.0,3000.0,6.4,1.85,3000.0
251,Color,Roger Spottiswoode,160.0,119.0,55.0,387.0,Colin Salmon,811.0,125332007.0,Action|Adventure|Thriller,Vincent Schiavelli,Tomorrow Never Diesξ,149680.0,2958.0,Joe Don Baker,3.0,ex boyfriend ex girlfriend relationship|media tycoon|megalomaniac|official james bond series|world war three,328.0,English,UK,PG-13,110000000.0,1997.0,766.0,6.5,2.35,0.0
252,Color,Roland Emmerich,192.0,142.0,776.0,1000.0,Adam Baldwin,13000.0,113330342.0,Action|Drama|History|War,Heath Ledger,The Patriotξ,207613.0,19454.0,Tom Wilkinson,1.0,american revolution|british|french|hero|standoff,1144.0,English,USA,R,110000000.0,2000.0,2000.0,7.1,2.35,4000.0
253,Color,Steven Soderbergh,198.0,125.0,0.0,350.0,Julia Roberts,11000.0,125531634.0,Crime|Thriller,Brad Pitt,Oceans Twelveξ,284852.0,19359.0,Mini Anden,0.0,father daughter relationship|heist|pretending to be pregnant|sequel|thief,627.0,English,USA,PG-13,110000000.0,2004.0,8000.0,6.4,2.35,0.0
254,Color,Doug Liman,233.0,126.0,218.0,322.0,Angelina Jolie Pitt,11000.0,186336103.0,Action|Comedy|Crime|Romance|Thriller,Brad Pitt,Mr. & Mrs. Smithξ,348861.0,22722.0,Stephanie March,2.0,assassin|marriage|secret agent|suburb|target,798.0,English,USA,PG-13,120000000.0,2005.0,11000.0,6.5,2.35,0.0
255,Color,Robert Schwentke,263.0,119.0,124.0,1000.0,Theo James,14000.0,129995817.0,Adventure|Sci-Fi|Thriller,Kate Winslet,Insurgentξ,154621.0,22622.0,Mekhi Phifer,0.0,action heroine|falling from height|mind control|trainhopping|truth serum,258.0,English,USA,PG-13,110000000.0,2015.0,5000.0,6.3,2.35,27000.0
256, Black and White,Martin Scorsese,267.0,170.0,17000.0,827.0,Adam Scott,29000.0,102608827.0,Biography|Drama,Leonardo DiCaprio,The Aviatorξ,264318.0,34582.0,Frances Conroy,0.0,1920s|aviation|fight|spruce goose|test flight,799.0,English,USA,PG-13,110000000.0,2004.0,3000.0,7.5,2.35,0.0
257,Color,Rob Letterman,184.0,85.0,11.0,116.0,Catherine Tate,480.0,42776259.0,Adventure|Comedy|Family|Fantasy,James Corden,Gullivers Travelsξ,53160.0,1173.0,Olly Alexander,1.0,bermuda triangle|box office hit|shipwrecked|travel|travel writer,121.0,English,USA,PG,112000000.0,2010.0,392.0,4.9,2.35,0.0
258,Color,Michel Gondry,447.0,119.0,1000.0,741.0,Tom Wilkinson,11000.0,98780042.0,Action|Comedy|Crime|Sci-Fi|Thriller,Christoph Waltz,The Green Hornetξ,136019.0,13391.0,Chad L. Coleman,0.0,heir|kung fu|party|playboy|superhero,443.0,English,USA,PG-13,120000000.0,2011.0,1000.0,5.8,2.35,14000.0
260,Color,Raja Gosnell,172.0,103.0,67.0,111.0,Tim Gunn,383.0,142614158.0,Adventure|Animation|Comedy|Family|Fantasy,Mahadeo Shivraj,The Smurfsξ,66593.0,692.0,Madison McKinley,3.0,blue|new york|new york city|no opening credits|smurf,153.0,English,USA,PG,110000000.0,2011.0,113.0,5.5,1.78,31000.0
261,Color,Will Finn,104.0,76.0,6.0,421.0,Roseanne Barr,12000.0,50026353.0,Animation|Comedy|Family|Music|Western,Steve Buscemi,Home on the Rangeξ,13581.0,13607.0,G.W. Bailey,0.0,cattle|cow|dairy farm|farm|rustler,88.0,English,USA,PG,110000000.0,2004.0,513.0,5.4,1.78,304.0
262,Color,Robert Schwentke,181.0,120.0,124.0,943.0,Theo James,6000.0,66002193.0,Action|Adventure|Mystery|Sci-Fi|Thriller,Naomi Watts,Allegiantξ,44296.0,12452.0,Zo�� Kravitz,3.0,based on young adult novel|dystopia|genetic experimentation|strong female character|strong female lead,144.0,English,USA,PG-13,110000000.0,2016.0,5000.0,5.8,2.35,12000.0
263,Color,Shawn Levy,327.0,127.0,189.0,544.0,Torey Michael Adkins,20000.0,85463309.0,Action|Drama|Sci-Fi|Sport,Hugh Jackman,Real Steelξ,254841.0,22254.0,Olga Fonda,1.0,arena|boxing|boxing movie|robot|robot battle,426.0,English,USA,PG-13,110000000.0,2011.0,929.0,7.1,2.35,36000.0
